Evento_ID,Acción,Responsable,Estado,Acción_requerida,Tiempo_estimado
726,Decorar,Karen Deleon,Finalizado,Reservar local,16
727,Reservar local,Elizabeth Collins,Pendiente,Reservar local,66
728,Reservar local,Joy Williams,En proceso,Decorar,19
729,Comprar materiales,Peter Collins,En proceso,Ejecutar evento,85
730,Ejecutar evento,Olivia Dyer,Pendiente,Ejecutar evento,81
731,Comprar materiales,Alexander Goodwin,Pendiente,Reservar local,16
732,Reservar local,Matthew Johnson DDS,Finalizado,Decorar,74
733,Comprar materiales,Brian Rodriguez,En proceso,Ejecutar evento,53
734,Reservar local,Aaron Chapman,Finalizado,Ejecutar evento,58
735,Enviar invitaciones,Daniel Smith,Pendiente,Enviar invitaciones,87
736,Ejecutar evento,Devin Harris,En proceso,Enviar invitaciones,31
737,Ejecutar evento,Sheila Shaffer,En proceso,Decorar,76
738,Reservar local,John Tran,Pendiente,Enviar invitaciones,83
739,Comprar materiales,Gary Russell,En proceso,Comprar materiales,85
740,Reservar local,Lauren Tran,En proceso,Comprar materiales,74
741,Comprar materiales,Katie Solis,Finalizado,Ejecutar evento,51
742,Decorar,Jessica Rogers,Pendiente,Comprar materiales,53
743,Reservar local,Julie Rodriguez,Pendiente,Decorar,89
744,Enviar invitaciones,James Hodges,Pendiente,Comprar materiales,36
745,Enviar invitaciones,Carol Hart,Pendiente,Decorar,85
746,Comprar materiales,Edwin Davis,Pendiente,Comprar materiales,74
747,Ejecutar evento,Jeffrey Simpson,Finalizado,Decorar,75
748,Enviar invitaciones,Andrea Harris,Pendiente,Enviar invitaciones,19
749,Reservar local,James Edwards,Finalizado,Comprar materiales,88
750,Reservar local,Kristina Keller,Pendiente,Reservar local,35
751,Comprar materiales,Antonio May,Finalizado,Enviar invitaciones,84
752,Decorar,Tiffany Bailey,Finalizado,Ejecutar evento,84
753,Enviar invitaciones,Dr. Karen Mendez,Finalizado,Ejecutar evento,57
754,Comprar materiales,Seth Burns,Pendiente,Decorar,57
755,Ejecutar evento,Mark Ferrell,En proceso,Enviar invitaciones,77
756,Decorar,Courtney Mcguire,En proceso,Decorar,35
757,Reservar local,Jillian Shields,Pendiente,Decorar,56
758,Reservar local,Madison Montoya,Finalizado,Enviar invitaciones,20
759,Enviar invitaciones,Wesley Jordan,En proceso,Enviar invitaciones,57
760,Enviar invitaciones,Carrie Clark,Finalizado,Reservar local,21
761,Ejecutar evento,Mary Booth,Pendiente,Ejecutar evento,36
762,Enviar invitaciones,Bianca Johnson,Finalizado,Reservar local,46
763,Reservar local,Stacey Edwards,Pendiente,Decorar,67
764,Reservar local,Stephen Mitchell,Pendiente,Ejecutar evento,41
765,Decorar,Jacob Miller,Pendiente,Reservar local,58
766,Decorar,Dr. Steven Turner,En proceso,Enviar invitaciones,19
767,Comprar materiales,Thomas Reynolds,Pendiente,Decorar,39
768,Ejecutar evento,Andrea Walker,En proceso,Comprar materiales,57
769,Reservar local,Kenneth Boyd,En proceso,Decorar,43
770,Comprar materiales,Erin Hammond,En proceso,Reservar local,78
771,Reservar local,Kevin Wilson,En proceso,Reservar local,37
772,Decorar,Pamela Jarvis,En proceso,Enviar invitaciones,81
773,Reservar local,Jenna Anderson,En proceso,Ejecutar evento,16
774,Reservar local,Susan Munoz,En proceso,Ejecutar evento,46
775,Ejecutar evento,Timothy Collins,Finalizado,Comprar materiales,47
776,Decorar,Ana Gates,Pendiente,Comprar materiales,51
777,Reservar local,Jeffery Anderson,En proceso,Enviar invitaciones,63
778,Reservar local,Matthew Sherman,Pendiente,Enviar invitaciones,69
779,Comprar materiales,Alexander Allen,Pendiente,Comprar materiales,33
780,Reservar local,Natalie Cunningham,Pendiente,Comprar materiales,22
781,Enviar invitaciones,Tara Roberson,Pendiente,Ejecutar evento,61
782,Reservar local,Peggy Graham,Finalizado,Decorar,43
783,Decorar,Justin Jackson,En proceso,Reservar local,53
784,Reservar local,Mr. Timothy Stewart DDS,En proceso,Decorar,31
785,Comprar materiales,Erica Hamilton,Pendiente,Ejecutar evento,48
786,Reservar local,Robert Brown,Finalizado,Comprar materiales,19
787,Reservar local,Benjamin Spears,Pendiente,Decorar,37
788,Decorar,Daniel Deleon,Finalizado,Reservar local,21
789,Ejecutar evento,John Torres,Finalizado,Decorar,55
790,Decorar,Hannah Underwood,En proceso,Comprar materiales,53
791,Ejecutar evento,Casey Harris,Pendiente,Enviar invitaciones,54
792,Comprar materiales,Kelly Wolf,Finalizado,Ejecutar evento,48
793,Decorar,Beth Kelly,Pendiente,Enviar invitaciones,49
794,Ejecutar evento,Michael Barton,En proceso,Ejecutar evento,63
795,Comprar materiales,Ashley Conrad,Pendiente,Comprar materiales,89
796,Decorar,Tiffany Stewart,Finalizado,Reservar local,86
797,Decorar,Deborah Turner,Finalizado,Decorar,74
798,Ejecutar evento,Scott Crawford,Finalizado,Reservar local,36
799,Decorar,George Miller,Pendiente,Decorar,85
800,Comprar materiales,Troy Vargas MD,Finalizado,Enviar invitaciones,43
801,Decorar,Melissa Roth DDS,Pendiente,Comprar materiales,70
802,Decorar,Harry Poole,Finalizado,Decorar,56
803,Reservar local,Kaitlin Crawford DVM,En proceso,Ejecutar evento,85
804,Comprar materiales,Brian Benson,Finalizado,Reservar local,26
805,Enviar invitaciones,Andre Frederick,Finalizado,Decorar,68
806,Comprar materiales,Andrea Mitchell,En proceso,Decorar,65
807,Comprar materiales,Deborah Garcia,Finalizado,Decorar,65
808,Decorar,Fred Willis,En proceso,Decorar,77
809,Reservar local,Rebecca Holloway,En proceso,Enviar invitaciones,47
810,Ejecutar evento,Candace Jackson,Finalizado,Reservar local,34
811,Ejecutar evento,Mark Davis,Pendiente,Enviar invitaciones,70
812,Reservar local,Marilyn Haley,Finalizado,Reservar local,45
813,Reservar local,Jessica Gray,Finalizado,Reservar local,66
814,Decorar,Debra Harrell,En proceso,Enviar invitaciones,24
815,Reservar local,Thomas Wilson,Pendiente,Decorar,42
816,Comprar materiales,Jennifer Cohen,Finalizado,Reservar local,55
817,Ejecutar evento,James Kim,Finalizado,Comprar materiales,35
818,Ejecutar evento,Amy Brady,Pendiente,Reservar local,82
819,Reservar local,Lisa Williams,En proceso,Reservar local,76
820,Decorar,Mary Brown,Pendiente,Decorar,60
821,Enviar invitaciones,Christopher Mitchell,En proceso,Enviar invitaciones,34
822,Decorar,John Johnston,Finalizado,Decorar,57
823,Ejecutar evento,Michael Diaz,En proceso,Ejecutar evento,31
824,Decorar,Eric Smith,En proceso,Decorar,23
825,Reservar local,Selena Cervantes,Pendiente,Ejecutar evento,52
826,Enviar invitaciones,Joshua Morgan,En proceso,Enviar invitaciones,44
827,Decorar,Emma Nguyen,Pendiente,Comprar materiales,23
828,Comprar materiales,Michelle Baker,Finalizado,Enviar invitaciones,52
829,Decorar,Gregory Casey,Finalizado,Enviar invitaciones,47
830,Decorar,Kayla Patterson,Pendiente,Decorar,85
831,Reservar local,James Potts,Pendiente,Decorar,27
832,Ejecutar evento,Gabrielle Horne,Pendiente,Ejecutar evento,43
833,Ejecutar evento,Marissa Mendoza,En proceso,Comprar materiales,50
834,Ejecutar evento,Diana Schneider,En proceso,Ejecutar evento,65
835,Ejecutar evento,Mark Roman,Pendiente,Comprar materiales,39
836,Decorar,Deborah Mccarty,Pendiente,Reservar local,86
837,Comprar materiales,Courtney Marshall,Finalizado,Comprar materiales,26
838,Decorar,Sophia Massey,Pendiente,Ejecutar evento,79
839,Decorar,Susan Ramos,En proceso,Comprar materiales,49
840,Reservar local,Deborah Richards,Pendiente,Decorar,42
841,Enviar invitaciones,Jessica Esparza,En proceso,Enviar invitaciones,32
842,Comprar materiales,Carolyn Brown,Pendiente,Comprar materiales,57
843,Enviar invitaciones,Dylan Martin,Finalizado,Reservar local,41
844,Ejecutar evento,Dr. William Brown DVM,Pendiente,Reservar local,50
845,Reservar local,David Johnson,Pendiente,Enviar invitaciones,82
846,Reservar local,Michael Sanders,Finalizado,Decorar,49
847,Decorar,Tyler Rivera,En proceso,Reservar local,84
848,Enviar invitaciones,Brian Lynch,En proceso,Reservar local,68
849,Comprar materiales,Richard Green,Pendiente,Ejecutar evento,76
850,Enviar invitaciones,Jeremy Ellis,En proceso,Reservar local,43
851,Enviar invitaciones,Paul Smith,Finalizado,Comprar materiales,61
852,Ejecutar evento,Billy Hester,Pendiente,Ejecutar evento,77
853,Comprar materiales,Michael Harper,Finalizado,Decorar,72
854,Ejecutar evento,Aaron Stanley,En proceso,Comprar materiales,86
855,Enviar invitaciones,Stephanie Morris,Pendiente,Reservar local,75
856,Decorar,Ruth Rivera,Finalizado,Ejecutar evento,50
857,Decorar,Kimberly Weber,En proceso,Reservar local,22
858,Ejecutar evento,Ethan Barnett,En proceso,Enviar invitaciones,21
859,Decorar,Abigail Chavez DDS,En proceso,Reservar local,59
860,Decorar,Ricardo Sheppard,En proceso,Reservar local,29
861,Ejecutar evento,Amy Phillips,Finalizado,Ejecutar evento,61
862,Decorar,Teresa Parker,Pendiente,Enviar invitaciones,47
863,Decorar,Valerie Wall,Pendiente,Comprar materiales,45
864,Decorar,Jeffrey Figueroa,Finalizado,Enviar invitaciones,51
865,Enviar invitaciones,Becky Jones,Finalizado,Ejecutar evento,32
866,Comprar materiales,John Bowers,Finalizado,Reservar local,51
867,Decorar,Christine Mccarthy,En proceso,Ejecutar evento,32
868,Comprar materiales,William Hill,Pendiente,Decorar,56
869,Comprar materiales,Gerald Lee,En proceso,Comprar materiales,65
870,Ejecutar evento,Jessica Martinez,Finalizado,Decorar,77
871,Comprar materiales,Jessica Hardy,Pendiente,Enviar invitaciones,63
872,Decorar,Lindsey Davis,Finalizado,Reservar local,66
873,Enviar invitaciones,Jeffrey Stevens,En proceso,Comprar materiales,62
874,Comprar materiales,Richard Johnson,En proceso,Enviar invitaciones,40
875,Comprar materiales,Elizabeth Hernandez DVM,En proceso,Decorar,56
876,Reservar local,Jessica Robinson,Finalizado,Comprar materiales,66
877,Comprar materiales,Jessica Figueroa,Pendiente,Decorar,38
878,Comprar materiales,Robert Burton,Finalizado,Enviar invitaciones,68
879,Comprar materiales,Erika Day,Finalizado,Decorar,61
880,Reservar local,James Cox,En proceso,Reservar local,70
881,Comprar materiales,Nicholas Hines,En proceso,Reservar local,51
882,Reservar local,Elizabeth Jenkins,Pendiente,Decorar,80
883,Comprar materiales,Alyssa Adams,Pendiente,Enviar invitaciones,18
884,Reservar local,Jill Robertson,En proceso,Comprar materiales,58
885,Ejecutar evento,Michael Morgan,Finalizado,Ejecutar evento,48
886,Decorar,Vanessa Gonzalez,Pendiente,Comprar materiales,71
887,Comprar materiales,Alejandra Craig,Pendiente,Ejecutar evento,84
888,Enviar invitaciones,James Williams,En proceso,Decorar,68
889,Decorar,Lisa Hodges,Pendiente,Decorar,29
890,Comprar materiales,Alex Baldwin,Pendiente,Reservar local,80
891,Comprar materiales,Donald Moore,En proceso,Reservar local,39
892,Comprar materiales,Daniel Schmidt,Pendiente,Decorar,48
893,Comprar materiales,Franklin Andrade,Pendiente,Reservar local,35
894,Comprar materiales,William Reed,Finalizado,Comprar materiales,54
895,Decorar,Jessica Taylor,En proceso,Decorar,28
896,Enviar invitaciones,Peter Jones,Pendiente,Decorar,17
897,Enviar invitaciones,Jonathan Jackson,En proceso,Ejecutar evento,86
898,Decorar,Madison Brown DDS,Pendiente,Comprar materiales,51
899,Comprar materiales,Leslie Chen,Pendiente,Ejecutar evento,32
900,Ejecutar evento,Edward Stewart,Pendiente,Comprar materiales,51
901,Enviar invitaciones,Patricia Cruz,Finalizado,Reservar local,64
902,Ejecutar evento,Leah Jones,Finalizado,Enviar invitaciones,79
903,Ejecutar evento,Nicole Mueller,En proceso,Comprar materiales,51
904,Comprar materiales,Seth Gray,Pendiente,Decorar,51
905,Reservar local,Adam Blake DVM,Pendiente,Enviar invitaciones,28
906,Ejecutar evento,Kevin Jenkins,En proceso,Comprar materiales,39
907,Ejecutar evento,Morgan Sanchez,Pendiente,Reservar local,57
908,Comprar materiales,Mary Velasquez,Pendiente,Enviar invitaciones,39
909,Ejecutar evento,Christopher Hernandez,Pendiente,Ejecutar evento,86
910,Comprar materiales,Linda Erickson,Finalizado,Enviar invitaciones,41
911,Ejecutar evento,Jared Smith,Finalizado,Decorar,43
912,Ejecutar evento,Jay Lawson,Finalizado,Enviar invitaciones,82
913,Comprar materiales,Mark Mcintosh,En proceso,Ejecutar evento,69
914,Decorar,Melody Morris,En proceso,Ejecutar evento,26
915,Comprar materiales,Michael Dickson,Finalizado,Comprar materiales,18
916,Decorar,Patrick Miller,Finalizado,Reservar local,40
917,Reservar local,Ms. Sandra Williams,Pendiente,Decorar,46
918,Enviar invitaciones,Valerie Kennedy,Pendiente,Decorar,21
919,Enviar invitaciones,Richard Wilson,Finalizado,Reservar local,33
920,Enviar invitaciones,Darren Harris,Finalizado,Reservar local,80
921,Enviar invitaciones,Thomas Jones,En proceso,Decorar,48
922,Decorar,Morgan Martinez,En proceso,Comprar materiales,85
923,Comprar materiales,Shelby Russell,Pendiente,Decorar,39
924,Ejecutar evento,Thomas Lozano,Finalizado,Ejecutar evento,81
925,Enviar invitaciones,Ryan Harris,Pendiente,Comprar materiales,71
926,Decorar,Veronica Ford,Finalizado,Comprar materiales,73
927,Enviar invitaciones,Stephanie Jones,Finalizado,Enviar invitaciones,84
928,Ejecutar evento,Christopher Smith,Pendiente,Comprar materiales,44
929,Comprar materiales,Ryan Gregory,Finalizado,Ejecutar evento,83
930,Enviar invitaciones,Kristen Golden,En proceso,Comprar materiales,85
931,Ejecutar evento,Jason Green,Finalizado,Ejecutar evento,17
932,Decorar,Veronica Brown,Pendiente,Ejecutar evento,85
933,Ejecutar evento,Timothy Conrad,En proceso,Decorar,78
934,Reservar local,Dennis Martin,Finalizado,Comprar materiales,77
935,Decorar,Nicole Wilson,Finalizado,Reservar local,81
936,Reservar local,Karla Smith,Finalizado,Reservar local,20
937,Enviar invitaciones,Ronald Davis,Pendiente,Enviar invitaciones,86
938,Decorar,Melissa Hill,Pendiente,Comprar materiales,41
939,Decorar,Andrew Wilson,En proceso,Decorar,39
940,Enviar invitaciones,Charles Jackson,Pendiente,Decorar,64
941,Comprar materiales,Blake Logan,Pendiente,Ejecutar evento,63
942,Decorar,Holly Vazquez,En proceso,Ejecutar evento,59
943,Decorar,Thomas Rogers,En proceso,Decorar,36
944,Ejecutar evento,Johnathan Cohen,Finalizado,Reservar local,67
945,Enviar invitaciones,Jennifer Brown,Pendiente,Decorar,65
946,Reservar local,Victoria Brown,Pendiente,Comprar materiales,39
947,Comprar materiales,Travis Macdonald,Finalizado,Reservar local,45
948,Comprar materiales,Jeffrey King,Finalizado,Ejecutar evento,30
949,Enviar invitaciones,Lisa Nelson,Pendiente,Enviar invitaciones,25
950,Enviar invitaciones,Richard King,Pendiente,Enviar invitaciones,88
951,Reservar local,Lindsey Mueller,Finalizado,Decorar,86
952,Ejecutar evento,Paula Carter,Finalizado,Comprar materiales,53
953,Reservar local,Karen Kaiser,Pendiente,Ejecutar evento,89
954,Enviar invitaciones,Monica Knox,Pendiente,Enviar invitaciones,35
955,Reservar local,Devon Coleman,En proceso,Enviar invitaciones,26
956,Ejecutar evento,Alexandra Page MD,Pendiente,Comprar materiales,51
957,Comprar materiales,Bryan Small,Pendiente,Comprar materiales,29
958,Comprar materiales,Elizabeth Smith,Finalizado,Enviar invitaciones,36
959,Enviar invitaciones,Jennifer Johnson,Pendiente,Ejecutar evento,52
960,Ejecutar evento,Dawn Colon,Pendiente,Enviar invitaciones,82
961,Decorar,Crystal Murphy,Finalizado,Ejecutar evento,48
962,Enviar invitaciones,Carrie Jones,En proceso,Decorar,60
963,Comprar materiales,George Hughes,En proceso,Ejecutar evento,87
964,Decorar,Kathleen Joseph,Finalizado,Ejecutar evento,41
965,Ejecutar evento,Kenneth Morris MD,En proceso,Reservar local,61
966,Reservar local,Linda Garcia,Finalizado,Decorar,70
967,Comprar materiales,Phillip Baker,En proceso,Ejecutar evento,62
968,Decorar,Michele Lane,En proceso,Comprar materiales,19
969,Decorar,Robert Ramsey,Finalizado,Ejecutar evento,21
970,Enviar invitaciones,Sean Fields,Finalizado,Enviar invitaciones,28
971,Reservar local,Michael Gomez,Finalizado,Enviar invitaciones,64
972,Enviar invitaciones,Tammy Wilson,En proceso,Decorar,57
973,Reservar local,Christopher Hurley,Pendiente,Decorar,23
974,Reservar local,Gerald Smith,En proceso,Decorar,21
975,Comprar materiales,Anne Bradshaw,Finalizado,Enviar invitaciones,34
976,Reservar local,Jay Nelson,Pendiente,Decorar,33
977,Decorar,Lauren Turner MD,En proceso,Comprar materiales,66
978,Decorar,Theresa Patton,Finalizado,Decorar,56
979,Decorar,Jermaine Adams,Pendiente,Ejecutar evento,58
980,Ejecutar evento,Caitlin Clayton,Finalizado,Enviar invitaciones,47
981,Decorar,Susan Moore,Pendiente,Ejecutar evento,24
982,Reservar local,Amanda Nolan,Finalizado,Ejecutar evento,60
983,Comprar materiales,John Pace,Finalizado,Enviar invitaciones,58
984,Enviar invitaciones,Alexander Hutchinson,Finalizado,Comprar materiales,24
985,Ejecutar evento,John Johns,En proceso,Comprar materiales,55
986,Reservar local,Nicole Cox,En proceso,Decorar,48
987,Comprar materiales,David Mcmahon,Pendiente,Comprar materiales,64
988,Decorar,Derek Chen,Pendiente,Decorar,16
989,Ejecutar evento,Steven Snow,En proceso,Decorar,23
990,Enviar invitaciones,Pamela Singh,Pendiente,Comprar materiales,45
991,Ejecutar evento,Michelle Wright,En proceso,Enviar invitaciones,63
992,Decorar,Jennifer Fuentes,En proceso,Decorar,62
993,Decorar,Douglas Cabrera,Finalizado,Enviar invitaciones,23
994,Enviar invitaciones,William Johnson,Pendiente,Reservar local,25
995,Decorar,Richard Green,Pendiente,Ejecutar evento,73
996,Reservar local,Bradley Hanna,Finalizado,Decorar,30
997,Ejecutar evento,Ashley Nixon,Pendiente,Comprar materiales,35
998,Comprar materiales,Diane Moore,Pendiente,Enviar invitaciones,28
999,Ejecutar evento,Crystal Fritz,Finalizado,Ejecutar evento,40
1000,Ejecutar evento,Joseph Hebert,Pendiente,Decorar,49
1001,Decorar,Daniel Garcia,Pendiente,Ejecutar evento,78
1002,Comprar materiales,David Haney,En proceso,Ejecutar evento,63
1003,Reservar local,Marc Rodriguez,Finalizado,Reservar local,30
1004,Enviar invitaciones,Steven Valdez,Pendiente,Decorar,53
1005,Comprar materiales,Betty Sexton,Pendiente,Comprar materiales,79
1006,Reservar local,Christina Palmer,Finalizado,Reservar local,25
1007,Enviar invitaciones,Ruben Jenkins,En proceso,Reservar local,63
1008,Enviar invitaciones,Philip Lewis,Finalizado,Decorar,46
1009,Decorar,Daniel Castro,Finalizado,Enviar invitaciones,42
1010,Decorar,Samantha Wade,Finalizado,Comprar materiales,44
1011,Enviar invitaciones,Maria Johnson,Finalizado,Reservar local,44
1012,Enviar invitaciones,Rebecca Green,Finalizado,Decorar,83
1013,Enviar invitaciones,Christine Blackburn,Finalizado,Reservar local,56
1014,Ejecutar evento,Ashley Hubbard,Pendiente,Enviar invitaciones,38
1015,Reservar local,Natalie Washington,Finalizado,Enviar invitaciones,23
1016,Reservar local,Jeremy Robertson,Pendiente,Enviar invitaciones,31
1017,Comprar materiales,Jennifer Robinson,Pendiente,Ejecutar evento,34
1018,Ejecutar evento,Amanda Taylor,Finalizado,Decorar,50
1019,Ejecutar evento,Cole Stewart,En proceso,Reservar local,81
1020,Decorar,Susan Keller,En proceso,Ejecutar evento,21
1021,Reservar local,Cindy Davis,Pendiente,Reservar local,45
1022,Reservar local,Aaron Brown,Finalizado,Enviar invitaciones,22
1023,Reservar local,Mathew Cardenas,Pendiente,Decorar,17
1024,Reservar local,Barbara Jackson,Pendiente,Reservar local,81
1025,Reservar local,Randall Kelley,En proceso,Enviar invitaciones,38
1026,Enviar invitaciones,Joy Andrews,Finalizado,Decorar,55
1027,Comprar materiales,Alexandria Carlson,Finalizado,Ejecutar evento,28
1028,Enviar invitaciones,Misty Brown,Finalizado,Enviar invitaciones,26
1029,Reservar local,Caitlyn Gardner,Pendiente,Ejecutar evento,24
1030,Comprar materiales,Amy Petersen,En proceso,Reservar local,40
1031,Comprar materiales,Dustin Green,Finalizado,Ejecutar evento,80
1032,Ejecutar evento,Jesse Smith,Finalizado,Reservar local,28
1033,Reservar local,Ronald Shaw,Finalizado,Comprar materiales,75
1034,Reservar local,Leslie Navarro,Finalizado,Reservar local,18
1035,Ejecutar evento,Joshua Montes,Finalizado,Ejecutar evento,55
1036,Reservar local,Virginia Stuart,En proceso,Enviar invitaciones,70
1037,Comprar materiales,Melvin Myers,Finalizado,Reservar local,85
1038,Enviar invitaciones,Daniel Gillespie,Finalizado,Reservar local,79
1039,Reservar local,Steven Arnold,Pendiente,Reservar local,58
1040,Ejecutar evento,Lynn Cruz,Pendiente,Ejecutar evento,43
1041,Ejecutar evento,Jasmine Fox,En proceso,Comprar materiales,16
1042,Decorar,Damon Morgan,En proceso,Decorar,27
1043,Enviar invitaciones,Sheri Randall,Pendiente,Comprar materiales,41
1044,Comprar materiales,Dave Kidd,Pendiente,Enviar invitaciones,68
1045,Decorar,Stacey Munoz,En proceso,Enviar invitaciones,41
1046,Enviar invitaciones,Kathryn Kennedy,Pendiente,Decorar,79
1047,Reservar local,Theresa Shepherd,En proceso,Ejecutar evento,58
1048,Enviar invitaciones,Lisa Anderson,Pendiente,Ejecutar evento,75
1049,Comprar materiales,Ariana Garza,Pendiente,Comprar materiales,47
1050,Decorar,Maria Goodwin,Finalizado,Reservar local,65
1051,Comprar materiales,Jon Perry,En proceso,Decorar,78
1052,Reservar local,Ronnie Perez,Pendiente,Comprar materiales,16
1053,Comprar materiales,Devin Fitzgerald,En proceso,Reservar local,69
1054,Comprar materiales,Mr. Michael Ellison II,En proceso,Reservar local,35
1055,Reservar local,Jennifer Grant,Finalizado,Comprar materiales,82
1056,Decorar,Justin Perry,Pendiente,Comprar materiales,44
1057,Decorar,Tina Weaver,Pendiente,Enviar invitaciones,72
1058,Comprar materiales,Brittany Pacheco,En proceso,Decorar,82
1059,Enviar invitaciones,John Rivera,Pendiente,Decorar,23
1060,Comprar materiales,Stephanie Juarez,Pendiente,Decorar,39
1061,Decorar,Emily Morgan,Finalizado,Reservar local,85
1062,Enviar invitaciones,Linda Johnston,En proceso,Comprar materiales,67
1063,Enviar invitaciones,Barbara Baker,Finalizado,Enviar invitaciones,27
1064,Enviar invitaciones,Garrett Rodriguez,Finalizado,Decorar,37
1065,Decorar,Christina Sandoval,En proceso,Enviar invitaciones,56
1066,Decorar,Andrew Horton,Pendiente,Decorar,16
1067,Enviar invitaciones,Gloria Johnson,Finalizado,Decorar,31
1068,Reservar local,Michael Hall,En proceso,Comprar materiales,40
1069,Comprar materiales,Dakota Dixon,En proceso,Enviar invitaciones,57
1070,Comprar materiales,David Sanchez,En proceso,Decorar,37
1071,Enviar invitaciones,Mary Hernandez,En proceso,Enviar invitaciones,35
1072,Reservar local,Kelsey Maxwell,En proceso,Comprar materiales,63
1073,Enviar invitaciones,Shannon Miller,Pendiente,Ejecutar evento,78
1074,Decorar,Sarah Francis,Pendiente,Decorar,41
1075,Ejecutar evento,Matthew Turner,En proceso,Comprar materiales,73
1076,Comprar materiales,Caleb Palmer,Finalizado,Comprar materiales,25
1077,Enviar invitaciones,Brittany French,Finalizado,Decorar,73
1078,Decorar,Danielle Alexander,Pendiente,Ejecutar evento,21
1079,Ejecutar evento,Catherine Leonard,En proceso,Reservar local,39
1080,Reservar local,Lisa Reynolds,En proceso,Ejecutar evento,61
1081,Decorar,Rick Serrano,Pendiente,Enviar invitaciones,68
1082,Enviar invitaciones,Michael Williams,Finalizado,Ejecutar evento,67
1083,Ejecutar evento,Jacob Booth,Pendiente,Reservar local,80
1084,Ejecutar evento,Charles Howard,En proceso,Comprar materiales,77
1085,Comprar materiales,Emma Morales,Pendiente,Decorar,73
1086,Comprar materiales,Michael Flores,Finalizado,Enviar invitaciones,79
1087,Decorar,Calvin Huerta,Finalizado,Decorar,45
1088,Enviar invitaciones,Christina Werner,Pendiente,Comprar materiales,50
1089,Decorar,Gregg Poole,En proceso,Comprar materiales,87
1090,Reservar local,Bonnie Rhodes,En proceso,Reservar local,44
1091,Enviar invitaciones,David Weaver,Pendiente,Ejecutar evento,56
1092,Reservar local,Robert Cervantes,Finalizado,Enviar invitaciones,73
1093,Decorar,Melissa Hernandez,Pendiente,Ejecutar evento,40
1094,Decorar,Michelle Powell,Pendiente,Enviar invitaciones,52
1095,Comprar materiales,Joel Oneal,Finalizado,Enviar invitaciones,53
1096,Decorar,Holly Davies,En proceso,Enviar invitaciones,36
1097,Reservar local,Mathew Graham,En proceso,Enviar invitaciones,55
1098,Enviar invitaciones,Matthew Powell,Pendiente,Enviar invitaciones,24
1099,Decorar,Richard Smith,En proceso,Comprar materiales,32
1100,Comprar materiales,Jonathan Gray,Finalizado,Decorar,63
1101,Ejecutar evento,Christine Smith,En proceso,Enviar invitaciones,63
1102,Comprar materiales,Lisa Flores,Finalizado,Decorar,38
1103,Enviar invitaciones,Kristin George,Finalizado,Comprar materiales,66
1104,Ejecutar evento,Gilbert Smith,Finalizado,Ejecutar evento,42
1105,Reservar local,Ryan Dawson,En proceso,Enviar invitaciones,50
1106,Decorar,Matthew Baker,En proceso,Comprar materiales,24
1107,Enviar invitaciones,Stephanie Garza,Finalizado,Decorar,76
1108,Reservar local,Rhonda White,Pendiente,Comprar materiales,74
1109,Decorar,Christopher Sosa,Finalizado,Enviar invitaciones,82
1110,Comprar materiales,Steven Hernandez,En proceso,Decorar,74
1111,Ejecutar evento,Brian Allen,Finalizado,Decorar,76
1112,Decorar,Wanda Rodriguez,En proceso,Decorar,35
1113,Reservar local,Catherine Pena,En proceso,Reservar local,82
1114,Comprar materiales,Jessica Hernandez,Finalizado,Reservar local,34
1115,Comprar materiales,Nathan Jones,Finalizado,Decorar,52
1116,Comprar materiales,Jacob Newton,Finalizado,Enviar invitaciones,25
1117,Ejecutar evento,Christine Myers,Finalizado,Decorar,48
1118,Enviar invitaciones,Hannah Davis,Finalizado,Comprar materiales,33
1119,Comprar materiales,James Moore,Pendiente,Ejecutar evento,72
1120,Decorar,Melissa Nunez,En proceso,Decorar,80
1121,Decorar,Tina Eaton,En proceso,Reservar local,80
1122,Reservar local,Joshua Hernandez,Finalizado,Ejecutar evento,55
1123,Comprar materiales,Kendra Wright,En proceso,Reservar local,60
1124,Enviar invitaciones,Heather Lee,En proceso,Decorar,27
1125,Decorar,Robert Sherman,Pendiente,Enviar invitaciones,52
1126,Comprar materiales,Jillian Johnson,En proceso,Comprar materiales,80
1127,Enviar invitaciones,Megan Skinner,En proceso,Ejecutar evento,54
1128,Enviar invitaciones,Dr. Kristine Valentine,Finalizado,Comprar materiales,61
1129,Enviar invitaciones,Raymond Ball,En proceso,Ejecutar evento,47
1130,Reservar local,Thomas Williams,Finalizado,Ejecutar evento,75
1131,Decorar,William Snyder,Pendiente,Ejecutar evento,28
1132,Decorar,Rachael Chandler,Pendiente,Ejecutar evento,29
1133,Ejecutar evento,Tammy Ramsey,Finalizado,Ejecutar evento,64
1134,Reservar local,Christian Fuentes,Finalizado,Ejecutar evento,77
1135,Comprar materiales,Jodi Williams,Pendiente,Reservar local,86
1136,Decorar,Mercedes Hall,Pendiente,Enviar invitaciones,52
1137,Ejecutar evento,Rachael Odonnell,En proceso,Decorar,18
1138,Comprar materiales,Patricia Sutton,En proceso,Reservar local,77
1139,Decorar,Matthew Thompson,Finalizado,Decorar,24
1140,Enviar invitaciones,Paul Adams MD,Finalizado,Comprar materiales,35
1141,Ejecutar evento,Kent Rose,En proceso,Comprar materiales,38
1142,Enviar invitaciones,Emily Garza DDS,Finalizado,Decorar,19
